TargetType,InstructorName,CourseNumber,CourseName,QuestionKey,QuestionHeader,RawText,TextClean,Label
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,he goes at a steady pace and stops if you need extra explanation for anything.,goes steady pace stops need extra explanation anything,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"I really like how in depth that he goes into the subjects that we cover, and how involved he gets the class in discussions.",really like depth goes subjects cover involved gets class discussions,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"I appreciate that he will pause for a moment to allow a student to catch up, or if they still need more time will send a coach to assist the student.  Also chose to review anything asked for so that we may do better on the exam.",appreciate pause moment allow student catch still need time send coach assist student also chose review anything asked may better exam,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,He very clearly knows what he is talking about and is passionate about it.,clearly knows talking passionate,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,He for sure knows what he is talking about and a lot of the hands on work we did was pretty fun.,sure knows talking lot hands work pretty fun,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"He would not only stay on topic with every discussion, but he can go on and on into more detail about whatever question you have until you fully understand.",would not stay topic every discussion detail whatever question fully understand,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,He goes into depth with any question asked.,goes depth question asked,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I liked how he would always use analogies and make the class genuinely a fun and positive area to learn.,liked would always use analogies make class genuinely fun positive area learn,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,The teacher was great and I loved him a lot I just think the class was really boring is all because I found most of the material self-explanitory,teacher great loved lot think class really boring found material self explanitory,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I appreciate how he will rephrase questions if he sees that people are just lost.,appreciate rephrase questions sees people lost,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I appreciated greatly how much of a philosophical element was in the AI class. I much prefer the thought of what an AI is and how it compares to a human mind versus how AI actually functions (though I do find that interesting as well.,appreciated greatly much philosophical element [gpe] class much prefer thought [gpe] compares human mind versus [org] actually functions though find interesting well,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,The methods that he uses. He uses them in a very efficient way.,methods uses uses efficient way,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I appreciate how much time he takes to make sure we understand what we are learning and how he values our opinions on the subject we are given.,appreciate much time takes make sure understand learning values opinions subject given,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,He talks a lot about how things are and what not,talks lot things not,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,I liked the instructor I did not like course,liked instructor not like course,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I appreciate the between students and the instructor.,appreciate students instructor,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"His ability to relate things to other things, keeping my mind engaged.",ability relate things things keeping mind engaged,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,The reason my 'learn' and 'challenge' questions are so low is specifically because before coming here I had already learned a lot about the basics of machine learning.,reason learn challenge questions low specifically coming already learned lot basics machine learning,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,Very good at talking to the students and making it seem like something we want to learn. Very engaging.,good talking students making seem like something want learn engaging,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I like how in-depth he goes into each category he teaches.,like depth goes category teaches,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,The way he explains things and delves into details makes me enjoy the lectures and think about things in new ways.,way explains things delves details makes enjoy lectures think things new ways,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,I only tried to reach him once (on teams like he requested) and he left me on read.,tried reach teams like requested left read,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,had cool activates to help me understand something (human neural network),cool activates help understand something human neural network,Positive
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,"The final sucks, just really boring and complicated for no real reason",final sucks really boring complicated real reason,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"I really liked that time was spent to properly answer questions people had in detail, even if it left less time to talk about the main topic at times, it helped more people (including myself) properly understand concepts before we moved on from them and gave more in depth insight past the exact topics the course would normally discuss, which made me feel like I got a lot more value out of the time I spent in the classroom.",really liked time spent properly answer questions people detail even left less time talk main topic times helped people including properly understand concepts moved gave depth insight past exact topics course would normally discuss made feel like got lot value time spent classroom,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked learning about the history of AI.,liked learning history [gpe],Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,Doing assignments in class. Talking more about assignments in class.,assignments class talking assignments class,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I really liked the material of the class and how it was covered and talked about.,really liked material class covered talked,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I would like to maybe see more dealing with actual current AIs to help get a better understanding of what they are.,would like maybe see dealing actual current ais help get better understanding,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,More in-depth learning on the topics of ai.,depth learning topics,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked learning about AI and the history of it.,liked learning [gpe] history,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"More hands on, less note taking.",hands less note taking,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked going into detail about the generation of AI and how i came about in the world that we live in today.,liked going detail generation [gpe] came world live today,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,Maybe have a coach for the class.,maybe coach class,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked the assignments we had where we would use ai for the assignments. I thought it was very unique and fun.,liked assignments would use assignments thought unique fun,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"Just make it more challenging or interesting. For an intro class everything makes sense, however, I just found it extremely easy.",make challenging interesting intro class everything makes sense however found extremely easy,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,The class was complex enough for what it is supposed to be. I just found it too easy and if it was not required I honestly would have just skipped it because it was so easy,class complex enough supposed found easy not required honestly would skipped easy,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I liked how it focused a lot on teaching what AI was, is, and could be. It also did an alright job at alleviating some of the fears around AI.",liked focused lot teaching [gpe] could also alright job alleviating fears around [gpe],Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I would like to see less philosophy in the class. I didn't bring that brain this time around.,would like see less philosophy class bring brain time around,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,Making me think more (also my least favorite bit),making think also least favorite bit,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I specifically liked the interest in the philosophical element on what an AI is at its core and how it functions in comparison to that of a human, an animal, or a non AI machine.",specifically liked interest philosophical element [gpe] core functions comparison human animal non [org] machine,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I would like to see the more technical aspect improved when it comes to information such as what the parts of a machine learning algorithm are.,would like see technical aspect improved comes information parts machine learning algorithm,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I did enjoy learning how AI came to be, the instructor made it great but the curriculum itself wasn't the best.",enjoy learning [gpe] came instructor made great curriculum best,Negative
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"The final is kind of dropped on you like a bomb, all assignments leading up to it are simple and easy, and then all of a sudden you have a annotated bibliography, 3-5 academic papers you need to read, a 15 minute presentation, and a hypothesis and lab that you need to do. Due next week.",final kind dropped like bomb assignments leading simple easy sudden annotated bibliography academic papers need read minute presentation hypothesis lab need due next week,Negative
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,i liked when we used AI models in class like the google teachable model.,liked used [org] models class like google teachable model,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"I would have like to learn more about AI and how it works and how's it's used in the work field now. I feel like the class was a class of history of ai not really and intro into AI are a whole. I don't think I got much from this class as a whole other than the final assignment. I personally think some of the assignments were too wordy and I got lost when reading them. Overall, I think this can be a good class if it has some improvements. Especially with the new degrees in AI I would've like to learn more in this class to get a little look at what those degrees would be.",would like learn [gpe] works used work field feel like class class history not really intro [gpe] whole think got much class whole final assignment personally think assignments wordy got lost reading overall think good class improvements especially new degrees [gpe] would like learn class get little look degrees would,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked the talk about what AI is and how its defined along with how everyone else in the class sees intelligence,liked talk [gpe] defined along everyone else class sees intelligence,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I would like to see some improvements on the group work as they can be confusing if the assignment details are not very clear.,would like see improvements group work confusing assignment details not clear,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,More hands on learning if its possible,hands learning possible,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I think there needs to be a lot less time spent on the history and more time spent on everything else in the course.,think needs lot less time spent history time spent everything else course,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,"We spent a lot of time talking about the history of AI, which meant that we barely touched on almost all of the other course outcomes. If the course was a quarter long, or if the history wasn't talked about, I think it would be a lot better. I feel like if you aren't going into an AI degree, you don't really need to know the history of AI.",spent lot time talking history [gpe] meant barely touched almost course outcomes course quarter long history talked think would lot better feel like going [gpe] degree really need know history [gpe],Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,Messing around with ai models and machine learning models.,messing around models machine learning models,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,"I don't really feel like most of the assignments accurately showed my learning. Most of the time it was just showed that I knew how to use the model, not that I knew what it did.",really feel like assignments accurately showed learning time showed knew use model not knew,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I think AI is very cool and it was very cool to learn about it in this way.,think [gpe] cool cool learn way,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,Maybe cover more topics.,maybe cover topics,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked learning about the history of Artificial Intelligence.,liked learning history [org],Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I wish that we learned more examples of how AI can be used in everyday life,wish learned examples [gpe] used everyday life,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I liked how it taught me, in some respects how AI actually works because that was something I never really understood before.",liked taught respects [gpe] actually works something never really understood,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I was hoping there would be more in this course about how to use AI to our advantage.,hoping would course use [gpe] advantage,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,had a few things I didn't know yet or improved my understanding of somethings,things know yet improved understanding somethings,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I can't think of that much. it feels like a lot of memorization but I don't know how to make it feel better.,think much feels like lot memorization know make feel better,Neutral
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I love how useful this information is going to be as we get through college and into a career. Having intro-level classes for this that all students take regardless of degree is great because it means we all get to improve our knowledge on something that's absolutely become standard within the relevant industries. I also love how much the material made me think about possibilities and related ideas/potential for its uses.,love useful information going get college career intro level classes students take regardless degree great means get improve knowledge something absolutely become standard within relevant industries also love much material made think possibilities related ideas potential uses,Positive
Course,,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"This may be more of a problem relating to sensational buzzwords and appealing terms, but a lot of the vocabulary was really hard to learn due to words having too many different regular-use meanings, making it tricky to associate properly. I'm glad the teacher already stressed how some of them don't make total sense outside of a marketing perspective, but I still ended up struggling to retain some things.",may problem relating sensational buzzwords appealing terms lot vocabulary really hard learn due words many different regular use meanings making tricky associate properly glad teacher already stressed make total sense outside marketing perspective still ended struggling retain things,Positive
Instructor,Erika Hernandez,BIT224-S1 1,Server Administration II: Linux - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"I liked the way she taught, where we could understand the concept easily and apply it to the assignments that were being used as practice. There were some problems with the virtual machines, yet the communication with troubleshooting was there making it a very fun and nice class.",liked way taught could understand concept easily apply assignments used practice problems virtual machines yet communication troubleshooting making fun nice class,Positive
Instructor,Erika Hernandez,BIT224-S1 1,Server Administration II: Linux - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,She was able to implement some of her real-world experiences to the class and how she uses some of the tools in real life work.,able implement real world experiences class uses tools real life work,Neutral
Instructor,Erika Hernandez,BIT224-S1 1,Server Administration II: Linux - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"Very down-to-earth and did her best to adjust the curriculum to a class without Marshall's guidance. (I give her significant credit for this; Marshall's style is heavy on giving specific, focused lectures before turning us loose on low-detail assignments. She did not have the tools she needed to give those specific, focused lectures.)",earth best adjust curriculum class without [person] guidance give significant credit [person] style heavy giving specific focused lectures turning loose low detail assignments not tools needed give specific focused lectures,Negative
Instructor,Erika Hernandez,BIT224-S1 1,Server Administration II: Linux - Section 1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,"Had some difficulties communicating. She'd sometimes lose her train of thought when explaining but not really re-explain them to the class to recover for it. Likewise, she'd often just give explanations on a student-by-student basis rather than lecturing/speaking to the whole class.    She also had a sparse tendency to not really listen to students and then come up with an answer roughly thrown at the question. Felt like the same sort of attitude an overworked tech support person has acting as if it's easier to assume the problem & solution than to spend serious discussion and effort to figure it out.",difficulties communicating sometimes lose train thought explaining not really explain class recover likewise often give explanations student student basis rather lecturing speaking whole class also sparse tendency not really listen students come answer roughly thrown question [person] like sort attitude overworked tech support person acting easier assume problem solution spend serious discussion effort figure,Negative
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked the setup and pace of progress.,liked setup pace progress,Positive
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,Working with different linux systems was helpful when actually seeing all the differences all of the different versions have.,working different linux systems helpful actually seeing differences different versions,Neutral
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_e6a48d0e84,What aspects of this course would you like to see improved?,Get a little more in depth with certain linux systems and working through some of the systems as a class and not just doing it on your own.,get little depth certain linux systems working systems class not,Neutral
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,Technically includes most things you need to set up a linux server.,technically includes things need set linux server,Negative
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_e6a48d0e84,What aspects of this course would you like to see improved?,REALLY BARE AS-IS. Just hardly teaches you any long-term skills. You go through like 12 various 20-minute installations and configurations and then leave them all to rot. There was essentially no *building* on what we were doing. It was all one-and-done and we never learned where and why we would *apply* any of what we were doing.,[org] hardly teaches long term skills like various minute installations configurations leave rot essentially building one done never learned would apply,Negative
Course,,BIT224-S1 1,Server Administration II: Linux - Section 1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,"The curriculum really, really needs a revamp. The class as it is teaches you piss-little. Speaking as someone who did every assignment.",curriculum really really needs revamp class teaches piss little speaking someone every assignment,Negative
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,Always willing to answer questions and let us answer them or find our way to the answers,always willing answer questions let answer find way answers,Positive
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,They give honest feedback and advice.,give honest feedback advice,Positive
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"I like that he is honest and blunt with us especially when things are not working, and that we have to figure it out.",like honest blunt especially things not working figure,Positive
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,If he makes an assignment thats taking the entire class too long he is not afraid to push the assignment due date to give us more time.,makes assignment thats taking entire class long not afraid push assignment due date give time,Positive
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I liked how the instructor is walking us through how to do AWS enviroments,liked instructor walking [org] enviroments,Positive
Instructor,Corey Burk,BIT380-S1 1,Integrated Business Solutions - Section 1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"If I were to need help on certain assignments, the professor would most certainly do so.",need help certain assignments professor would certainly,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,How many videos we watched,many videos watched,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I like learning about the cloud, and just learning how to use it on our own with the challenge labs which I really liked doing and just troubleshooting it.",like learning cloud learning use challenge labs really liked troubleshooting,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"The signal, or just change rooms because the room we were in didn't have good signal so we literally couldn't even continued our learning.",signal change rooms room good signal literally even continued learning,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked the AWS labs and actually getting a Certificate was nice.,liked [org] labs actually getting [org] nice,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I liked learning a new environment,liked learning new environment,Positive
Course,,BIT380-S1 1,Integrated Business Solutions - Section 1,q_e6a48d0e84,What aspects of this course would you like to see improved?,AWS canvas configuration,[org] canvas configuration,Positive
